month,product,n
2017-10,Checking or savings account,1467
2017-10,Debt collection,4028
2017-12,Debt collection,3880
2018-02,Checking or savings account,1611
2018-02,Debt collection,4460
2018-07,Debt collection,3991
2018-09,Debt collection,3678
2018-10,Debt collection,4078
2019-01,Credit card or prepaid card,1906
2019-10,Credit card or prepaid card,2357
2019-11,Debt collection,3516
2020-05,"Credit reporting, credit repair services, or other personal consumer reports",23518
2020-12,Debt collection,4644
2021-03,Mortgage,2914
2021-06,Debt collection,6617
2021-10,Checking or savings account,2447
2021-10,Debt collection,5725
2023-02,Checking or savings account,3945
2023-03,"Credit reporting, credit repair services, or other personal consumer reports",29344
2023-07,Mortgage,1
2023-08,"Credit reporting, credit repair services, or other personal consumer reports",17
2023-09,Credit card,2
2023-09,Credit reporting or other personal consumer reports,4
2023-10,Credit card,1
2023-11,Credit card,3558
2023-11,Debt collection,4117
2023-12,Credit card,4776
2023-12,Credit reporting or other personal consumer reports,101735
2023-12,Debt collection,6137
2023-12,Student loan,1289
2024-01,Credit card,5248
2024-02,Debt collection,8772
2024-02,"Payday loan, title loan, personal loan, or advance loan",629
2024-03,Prepaid card,597
2024-04,Prepaid card,554
2024-05,Debt collection,12427
2024-05,Mortgage,1713
2024-06,Credit card,5535
2024-07,Mortgage,1737
2024-08,"Payday loan, title loan, personal loan, or advance loan",750
2024-09,Checking or savings account,4270
2024-11,Checking or savings account,5175
2024-11,Debt collection,15454
2024-11,Vehicle loan or lease,1141
2024-12,Debt collection,16424
2024-12,Vehicle loan or lease,1245
2025-02,Debt collection,17032
2025-03,Student loan,3413
2025-04,Vehicle loan or lease,1423
2025-05,Mortgage,1969
2025-06,Credit card,7364
2025-07,"Money transfer, virtual currency, or money service",2823
2025-08,Debt or credit management,306
2025-10,Debt or credit management,298
2025-11,Prepaid card,489
2013-01,Credit reporting,911
2013-05,Bank account or service,1021
2014-04,Debt collection,3689
2015-03,Mortgage,3555
2016-08,Non-financial product/service,1
2016-11,Mortgage,3191
2017-09,"Credit reporting, credit repair services, or other personal consumer reports",16090
2018-06,Debt collection,4242
2018-08,Mortgage,2084
2020-03,"Money transfer, virtual currency, or money service",461
2021-04,Checking or savings account,2452
2021-04,Mortgage,2522
2021-12,"Payday loan, title loan, or personal loan",405
2023-11,Checking or savings account,2701
