ticker,month,n,z
AFRM,2021-02,1,
AFRM,2021-03,15,
AFRM,2021-04,8,
AFRM,2021-05,18,
AFRM,2021-06,29,
AFRM,2021-07,29,
AFRM,2021-08,32,
AFRM,2021-09,17,
AFRM,2021-10,27,
AFRM,2021-11,46,
AFRM,2021-12,42,
AFRM,2022-01,52,
AFRM,2022-02,29,0.37991773849497107
AFRM,2022-03,48,1.1985516364335045
AFRM,2022-04,68,1.6898347405516865
AFRM,2022-05,35,0.0877201867216359
AFRM,2022-06,36,0.027217113053928186
AFRM,2022-07,40,0.2686336147120356
AFRM,2022-08,52,0.9372662789228902
AFRM,2022-09,43,0.2811385793916723
AFRM,2022-10,52,0.8351808943891894
AFRM,2022-11,59,1.280462611680952
AFRM,2022-12,60,1.1845920827258714
AFRM,2023-01,68,1.5089847748170009
AFRM,2023-02,72,1.5167595627973753
AFRM,2023-03,22,-3.3545663080766297
AFRM,2023-04,0,-11.399346039912674
AFRM,2023-05,0,-3.0490333968621894
AFRM,2023-06,0,-2.0968181509966444
AFRM,2023-07,0,-1.635231239474718
AFRM,2023-08,0,-1.3390338976525327
AFRM,2023-09,0,-1.1213624125093204
AFRM,2023-10,0,
AFRM,2023-11,49,
AFRM,2023-12,74,
AFRM,2024-01,85,
AFRM,2024-02,93,
AFRM,2024-03,100,
AFRM,2024-04,113,1.2927334836140834
AFRM,2024-05,113,1.0860087188625647
AFRM,2024-06,97,0.8538819032840147
AFRM,2024-07,113,0.785833547005478
AFRM,2024-08,126,0.7095455957846362
AFRM,2024-09,132,0.6156365751698764
AFRM,2024-10,150,0.6080359841269959
AFRM,2024-11,131,0.9096876243965566
AFRM,2024-12,163,2.0018146085824284
AFRM,2025-01,213,3.112621685527809
AFRM,2025-02,132,0.2224874126435952
AFRM,2025-03,140,0.37705854608517003
AFRM,2025-04,172,1.271165260117919
AFRM,2025-05,188,1.490614790212507
AFRM,2025-06,194,1.3838228791473355
AFRM,2025-07,273,2.9731440720170395
AFRM,2025-08,257,1.9050899821031544
AFRM,2025-09,296,2.0939865193335616
AFRM,2025-10,310,1.8211425752272645
AFRM,2025-11,354,1.896171481831671
AFRM,2025-12,482,2.5154079335783095
AFRM,2026-01,497,1.952046302622012
AFRM,2026-02,447,1.3077856335657945
AFRM,2026-03,478,1.2933449797154632
AFRM,2026-04,493,1.2229139718674829
AFRM,2026-05,497,1.0887481954805083
AFRM,2026-06,797,2.419350190408021
ALLY,2012-03,40,
ALLY,2012-04,28,
ALLY,2012-05,21,
ALLY,2012-06,23,
ALLY,2012-07,19,
ALLY,2012-08,16,
ALLY,2012-09,20,
ALLY,2012-10,24,
ALLY,2012-11,18,
ALLY,2012-12,15,
ALLY,2013-01,23,
ALLY,2013-02,21,
ALLY,2013-03,27,0.8532525338982827
ALLY,2013-04,26,1.1428391503861413
ALLY,2013-05,29,1.843928458845377
ALLY,2013-06,27,1.1445757119921807
ALLY,2013-07,32,1.8235605544130047
ALLY,2013-08,36,1.9657875600444583
ALLY,2013-09,30,0.875364667558198
ALLY,2013-10,36,1.4882775621578939
ALLY,2013-11,32,0.7981861635288328
ALLY,2013-12,39,1.4787302056417846
ALLY,2014-01,77,5.250382256756843
ALLY,2014-02,52,1.4673995753513787
ALLY,2014-03,42,0.5714284131306576
ALLY,2014-04,55,1.3461761839495512
ALLY,2014-05,42,0.26194285026396846
